date,F_Momentum,long_ret,short_ret,n_long,n_short,n_universe
1997-05-31,-0.0137626512817054,0.01586075288326981,0.02962340416497521,78,78,393
1997-06-30,-0.03275402229046746,0.048527760412391055,0.08128178270285852,78,78,394
1997-07-31,-0.03467289326073451,-0.032661474768382825,0.0020114184923516803,79,79,396
1997-08-31,-0.039323815444484864,0.030955448110977616,0.07027926355546248,79,79,398
1997-09-30,-0.0730309993872492,-0.09449875605325586,-0.021467756666006654,79,79,399
1997-10-31,-0.04537518327824271,-0.019553090524012755,0.025822092754229958,80,80,400
1997-11-30,-0.010063673802404869,0.0009825124373226551,0.011046186239727524,80,80,403
1997-12-31,-0.011759827963861276,-0.014134431407913097,-0.0023746034440518204,81,81,405
1998-01-31,-0.03159723404006942,0.06511405478426861,0.09671128882433803,81,81,406
1998-02-28,-0.010862306583050318,0.03201557337562806,0.04287787995867838,81,81,406
1998-03-31,-0.06670837294282769,-0.025723803448243703,0.04098456949458399,81,81,408
1998-04-30,-0.004381290711606964,-0.05653795845058013,-0.052156667738973164,81,81,407
1998-05-31,0.011923263108659496,-0.0003831553635054246,-0.012306418472164921,81,81,409
1998-06-30,-0.008489642004993858,-0.04732841847913706,-0.0388387764741432,82,82,411
1998-07-31,-0.013833750615025925,-0.19742164630584602,-0.1835878956908201,83,83,415
1998-08-31,-0.03777483001601807,0.06562057049854074,0.10339540051455881,82,82,414
1998-09-30,-0.11759885829552949,0.028122257774947725,0.14572111607047722,82,82,414
1998-10-31,-0.021625135631996757,0.051063035226888036,0.07268817085888479,83,83,415
1998-11-30,0.08302573530624588,0.09768647344456356,0.014660738138317687,83,83,415
1998-12-31,0.0916824530493802,0.06257359229883505,-0.02910886075054515,83,83,417
1999-01-31,-0.05985107749402466,-0.07770416422262541,-0.017853086728600757,90,90,452
1999-02-28,-0.0599589062067616,0.026155888952634588,0.08611479515939618,90,90,450
1999-03-31,-0.10059351538543287,0.01488029220731823,0.11547380759275111,90,90,454
1999-04-30,-0.08934334338802219,-0.04986982612812106,0.039473517259901135,91,91,457
1999-05-31,-0.0020504784729162423,0.044895211451529915,0.04694568992444616,91,91,455
1999-06-30,0.01722357796595787,-0.03031074617240623,-0.0475343241383641,91,91,458
1999-07-31,0.015623725188614969,-0.012668698487061623,-0.02829242367567659,91,91,459
1999-08-31,0.015370086819094964,-0.028070728368105938,-0.0434408151872009,91,91,458
1999-09-30,-0.021844217392975283,0.014563613062878318,0.0364078304558536,91,91,458
1999-10-31,0.032470179043717726,0.07809843785674278,0.045628258813025055,91,91,458
1999-11-30,0.06975267759374115,0.08207311188106935,0.01232043428732819,91,91,457
1999-12-31,-0.015799029201082518,-0.04698570463959862,-0.031186675438516102,92,92,461
2000-01-31,0.20182401300206887,0.17890041636026782,-0.022923596641801033,91,91,459
2000-02-29,-0.17495843970376868,-0.031581119504335356,0.14337732019943333,92,92,460
2000-03-31,-0.08561172030788328,-0.06564735569947881,0.01996436460840446,93,93,465
2000-04-30,-0.05879483319030253,-0.026784775922283757,0.03201005726801877,93,93,466
2000-05-31,0.01595014721820521,0.03795166792336325,0.02200152070515804,92,92,464
