date,n_long,n_short,beta_long,beta_short
2019-04-30,196,196,0.9725941597191088,0.9844427364872481
2019-05-31,196,196,1.0089717941585041,1.0154509771315772
2019-06-28,196,196,1.005866016059468,1.01032373170536
2019-07-31,196,196,0.9915735873684918,1.0098476185210523
2019-08-30,196,196,1.038595408290525,0.9965944406923212
2019-09-30,196,196,1.0323256173096143,0.9967484623608323
2019-10-31,196,196,1.0455347938598196,1.0091041966560508
2019-11-29,196,196,1.0951679352838197,1.0191354462180027
2019-12-31,196,196,1.1336610262427076,1.0196738722625083
2020-01-31,195,195,1.1696661954103253,1.0069376608062615
2020-02-28,196,196,1.1672574659003252,0.9868917456031867
2020-03-31,196,196,1.1995400778402552,0.9786253659115295
2020-04-30,196,196,1.203945632016941,1.0104206271892289
2020-05-29,196,196,1.2030894594398762,1.013648381589119
2020-06-30,197,197,1.2326368639303553,1.0238494825618023
2020-07-31,197,197,1.2288981781556725,1.0301425125082235
2020-08-31,196,196,1.2417822122548912,1.033774199125416
2020-09-30,197,197,1.2414109894065395,1.0136812120646914
2020-10-30,196,196,1.2227492425266075,0.9991514236092842
2020-11-30,196,196,1.1723696619265795,1.0335629600428575
2020-12-31,196,196,1.1708427987281147,1.045826938889276
2021-01-29,195,195,1.170556862810256,1.0458575879469052
2021-02-26,196,196,1.147951782314904,1.062133100239988
2021-03-31,196,196,1.23258078019659,1.0819352903237385
2021-04-30,195,195,1.1790815060230277,1.0524528600756335
2021-05-28,195,195,1.0662810209328772,1.0153884100402415
2021-06-30,195,195,0.9302984827114986,0.9867851098181828
2021-07-30,195,195,0.9544161958052177,0.9845512348136782
2021-08-31,193,193,0.968185628206442,0.9871833474706404
2021-09-30,194,194,1.0187020712548978,1.0135425237054445
2021-10-29,194,194,1.013271154847894,1.0306147175525946
2021-11-30,194,194,0.9626175176167098,1.0215175715274547
2021-12-31,194,194,0.9654588721152008,1.0202739117991602
2022-01-31,195,195,0.99782389918562,1.0054482174593147
2022-02-28,195,195,0.9820224057530824,1.0216978473079275
2022-03-31,195,195,1.0044104164227008,1.0493453289849952
2022-04-29,195,195,0.9978120995018618,1.0059065340563924
2022-05-31,196,196,1.0301312185847338,0.9991340574359865
2022-06-30,197,197,1.078859718903808,1.0113962481051197
2022-07-29,197,197,1.0485013791330662,1.0352952163289566
2022-08-31,197,197,1.071711509523281,1.0282462727635155
2022-09-30,197,197,1.0958520721214369,1.0169350386198936
2022-10-31,196,196,1.092979069689719,1.0259582078815308
2022-11-30,196,196,1.03916841825548,1.0158897449132231
2022-12-30,196,196,1.05440189656279,1.0150902945456277
2023-01-31,196,196,1.0296260708325855,1.0307755356399133
2023-02-28,196,196,1.0604881025190933,1.0573554782447236
2023-03-31,197,197,1.0633285721670163,1.0517335111705617
2023-04-28,197,197,1.0750765449369921,1.0267140572526021
2023-05-31,197,197,1.0935208358905726,1.039000873126271
2023-06-30,197,197,1.0751438060912264,1.030797332680479
2023-07-31,196,196,1.0754596696107512,1.0247650201532832
2023-08-31,196,196,1.0921127100458548,1.0341801636039807
2023-09-29,196,196,1.0881453934498824,1.023961114810156
2023-10-31,196,196,1.11420370760675,1.0168964142446293
2023-11-30,195,195,1.1159649503862124,1.0337729878621205
2023-12-29,196,196,1.1461923145990975,1.0529277920400344
2024-01-31,196,196,1.163011011449862,1.0370747089306722
2024-02-29,195,195,1.1262031659066967,1.0335686154943713
2024-03-28,195,195,1.0974463351685464,1.0007317485768497
2024-04-30,195,195,1.097064318308659,1.0061212365518926
2024-05-31,195,195,1.05242114984944,1.0351789661975097
2024-06-28,194,194,1.0307070505993594,1.0446405665744811
2024-07-31,194,194,0.9325111739779073,1.0143923068968965
2024-08-30,194,194,1.0060670309831525,0.9538949845777016
2024-09-30,193,193,0.9890937865613187,0.9757871873029582
2024-10-31,193,193,0.9892747287861849,0.9527498270163729
2024-11-29,190,190,0.9323871666769429,0.9291234097680564
2024-12-31,189,189,0.8933693102040167,0.9450080692079543
2025-01-31,187,187,0.8458253290455726,0.9331473383436267
2025-02-28,184,184,0.8578745591618872,0.9201341954930373
2025-03-31,183,183,0.9226392224192608,0.9080123397480833
2025-04-30,192,192,1.0037088701200285,0.9285850308494056
2025-05-30,190,190,0.9839191358212807,0.968993821719813
2025-06-30,190,190,0.975714605327346,1.0014804935033594
2025-07-31,189,189,1.0178363232497158,1.0284569763431735
2025-08-29,189,189,1.0356309266452088,1.0106371454796599
2025-09-30,188,188,1.046256412884988,1.0066093936454736
2025-10-31,187,187,1.0446587138625172,1.0383718488680613
2025-11-28,187,187,0.9972921603221667,1.0218748775783046
2025-12-31,187,187,1.009436515548125,1.0440002541189528
2026-01-30,187,187,1.0324758287173192,1.0619346783049322
